Target,Clues
underpart,woodland mouse white underpart animal body
polyp,life cycle medusoid phase hollow cylindrical body
carnivore,terrestrial carnivore
fur seal,male fur seal hemisphere soft underfur
dog,canis common wolf prehistoric time
spruce bark beetle,spruce bark beetle insect pest alaska spruce forest small beetle spruce tree
lippizan,lippizan sturdy saddle horse vienna
hinny,gentler disposition mule hybrid male horse female donkey
cattle,bovine animal group regardless
cow,bovine animal group regardless
ox,bovine animal group regardless
tup,british term tup adult male sheep
world,human inhabitant
humankind,humankind mankind human inhabitant
mankind,humankind mankind human inhabitant
man,humankind mankind human inhabitant
homo erectus,homo pithecanthropus erectus extinct specie primitive hominid upright stature small brain
fish,large fish aquatic vertebrate
fish,colorful fish aquatic vertebrate
merobenthos,recent study planktonic organisms life quiescent pre adult stage
spore,sexual spore asexual reproductive body sexual fusion
tule tree,tule world mexico famous tree giant specimen montezuma santa maria tule
bloomer,night bloomer particular way
daughter cell,daughter cell
mother cell,sperm cell sperm mother cell cell different sort
corolla,inner floral envelope
grain,kansa cereal grass
kernel,whole grain
oak,great oak deciduous tree quercus
rubber tree,rubber tree small genus south american tree
tea,white flower tropical evergreen shrub small tree china japan india tea leaf
stinkhorn,stinkhorn attracts insect phallales
field crop,field crop agricultural purpose
fuzz,peach fuzz filamentous hairlike growth
snag,dead tree
quickset,vineyard cutting
head,dense cluster
kernel,black walnut kernel edible part fruit stone
wand,slender wand thin supple twig
time period,time period
period,time period
period,picasso blue period
time frame,short time frame time period
grace,april grace period june time past special favor
grace period,april grace period june time past special favor
hour,indefinite period
time,grandmother funeral time period
face time,office work time
hospitalization,patient hospitalization
travel time,travel time
time,definite period
modern time,modern time present age
bygone,bygone past event
history,critical time school history past event
kingdom come,bed till kingdom
time,indefinite period specific attribute
time,great actor indefinite period specific attribute
incarnation,incarnation time particular bodily form
history,human history
scet,scet trm owlt universal time
clock,world record clocking
span,complete duration
stretch,unbroken period
stretch,federal penitentiary unbroken period
time scale,geological time scale mankind brief moment
nonce,present occasion
week,hour week hour calendar week
day,busy day stock exchange
leisure,leisure time
vacation,summer leisure time
holiday,short holiday puerto rico leisure time
leave,day
life,short life
life,happy life
life,present time
day,monarch life
year,final year life
occupation,german occupation paris
past,candidate past life
birth,new age
cradle,cry birth
puerperium,puerperium time period mother uterus shrink anatomic change
incipience,democratic faith
incipiency,arrest monopoly
death,life end
last,life end
die,old hope
grave,grave death
summer,golden summer
age,school age particular qualification
eld,particular qualification
old age,old age late time
age,old age late time
year,late time
age,late time
eld,late time
geezerhood,late time
night,dark part diurnal cycle time unit
today,newspaper present moment
yesterday,newspaper
date,particular day
date,early date particular day
date,day particular day
rain date,rain date alternative date outdoor event
date,history class particular day gregorian
feria,middle age feria ordinal number secunda feria dominicus sabbatum ordinary weekday
morning,time period
morn,time period
lunchtime,regular lunchtime habitual hour
afternoon,quiet afternoon
even,late afternoon
eve,late afternoon
even,late afternoon
night,restless night
eve,revolution
midnight,young child
week,consecutive day
week monday,time period
fortnight,major tennis tournament consecutive day
access time,access time rotational latency command process overhead computer science time data
distance,remote point
checkout,hotel room
holiday,federal holiday
holiday,good thing new year
year,martian earth mar complete revolution
year,school year regular part calendar year particular activity
month,time unit
full,moon
day,jupiter particular planet mar complete rotation
month,calendar year
school day,school day
limitation,time period
term,prison term
prison term,prison term
time,county jail
life,prison term
school term,school term
quarter,fall quarter end christmas school year
term,healthy baby full term
full term,healthy baby full term
hour,late clock time
hour,memorable period
regulation time,regulation time
minute,minute mile
min,minute mile
quarter,quarter til
season,regular sequence natural period atmospheric condition
fall,leaf fall
spring,sure sign
summer,lazy summer warm season hemisphere summer solstice autumnal equinox
high season,europe high season
season,christmas recurrent time major holiday
season,ballet company special event
season,avocado season special event
month sunday,sunday
long run,long run
long haul,long haul
eon,long period
blue moon,blue moon long time
year dot,year dot
drought,england pakistan ten year drought
moment,particular point
eleventh hour,possible moment
last minute,possible moment
pinpoint,brief moment
time,suitable moment
high time,high time
occasion,th birthday particular event
wee,short time
,indeterminate length
piece,indeterminate length
spell,good weather indeterminate length
patch,bad weather indeterminate length
moment,short time
mo,short time
minute,short time
bit,short time
flash,short time
period,ganoid fish geological period geological time
geological period,ganoid fish geological period geological time
caliphate,caliphate islam ascendancy mohammed muslim muslim
day,roman empire
day,successful pianist
generation,normal time successive generation
chapter,industrial revolution new chapter british history distinct period person life
chapter,ugly chapter distinct period person life
age,litigious age
ice age,recent ice age pleistocene large part earth surface
top,relief pitcher
quarter,professional basketball
reign terror,reign bourbon reign historic period revolution
reign,henry viii
run,assembly line hour run continuous period
today,present time
yesterday,solution recent past
yesterday,recent past
off,foreseeable future
tomorrow,world near future
tomorrow,near future
start,early start
youth,early period
administration,eisenhower
middle,temporal period
middle,april temporal period
end,warranty period
end,warranty period
dawn,roman empire opening time period
even,roman empire time period
fag end,fag end crisis ridden century
last gasp,cold war
expiry,driver license contract period
threshold,new state
time slot,tv program new time slot
slot,tv program new time slot
time,long time
caesura,ominous caesura
delay,instant replay delay time
hold,action time
nap,n time
kip,kip sleep
rest,short rest
cardiac output,cardiac output
